File Origin	Capture Number	Cell Number	SG Enrichment Score
WT_1	Capture 10	3	4.27073955
WT_1	Capture 10	4	5.79137931
WT_1	Capture 10	5	6.83556582
WT_1	Capture 10	6	6.230794165
WT_1	Capture 11	8	9.574647887
WT_1	Capture 11	14	3.136300692
WT_1	Capture 11	15	8.996116505
WT_1	Capture 12	5	3.95441989
WT_1	Capture 12	7	4.267423383
WT_1	Capture 13	1	6.922261484
WT_1	Capture 13	2	9.022707424
WT_1	Capture 13	9	2.458082192
WT_1	Capture 1	1	3.507708226
WT_1	Capture 1	3	1.914173615
WT_1	Capture 1	4	3.8226206
WT_1	Capture 1	5	4.083305113
WT_1	Capture 2	6	4.57708628
WT_1	Capture 3	3	4.549306431
WT_1	Capture 3	5	3.898448276
WT_1	Capture 4	2	3.62811344
WT_1	Capture 4	4	3.935804702
WT_1	Capture 4	7	6.407566204
WT_1	Capture 5	17	3.285760518
WT_1	Capture 6	1	3.885472973
WT_1	Capture 6	3	3.735119048
WT_1	Capture 6	7	3.170206264
WT_1	Capture 10	3	4.457312253
WT_1	Capture 10	7	4.548318043
WT_1	Capture 11	13	10.62705314
WT_1	Capture 1	7	2.211889597
WT_1	Capture 1	8	3.036656891
WT_1	Capture 2	11	5.222604423
WT_1	Capture 2	13	4.312367491
WT_1	Capture 4	5	4.028629032
WT_1	Capture 4	6	3.202008788
WT_1	Capture 6	7	6.900347222
WT_1	Capture 6	8	3.835443038
WT_1	Capture 6	10	4.186315789
WT_1	Capture 8	4	2.99330855
WT_1	Capture 8	5	3.187110187
WT_1	Capture 9	4	3.160550459
-3ILV_1	Capture 10	1	4.235695339143615
-3ILV_1	Capture 10	2	2.694428706326724
-3ILV_1	Capture 10	8	3.5579584775086506
-3ILV_1	Capture 10	10	2.3006031363088058
-3ILV_1	Capture 10	11	4.833645266594123
-3ILV_1	Capture 10	12	2.477295492487479
-3ILV_1	Capture 10	14	3.8325757575757575
-3ILV_1	Capture 10	15	3.74262996941896
-3ILV_1	Capture 10	16	4.048185483870969
-3ILV_1	Capture 10	17	3.806981342962772
-3ILV_1	Capture 11	1	3.9787297701618387
-3ILV_1	Capture 11	2	2.9494722658881654
